t,sin,cos
0,0,1
0.002,0.0019999986666669333,0.9999980000006666
0.004,0.003999989333341867,0.9999920000106667
0.006,0.0059999640000648,0.999982000054
0.008,0.007999914666939733,0.9999680001706663
0.01,0.009999833334166664,0.9999500004166653
0.012,0.011999712002073594,0.9999280008639958
0.014,0.013999542671148512,0.9999020016006562
0.016,0.015999317342071415,0.9998720027306434
0.018000000000000002,0.01799902801574628,0.9998380043739528
0.020000000000000004,0.019998666693333084,0.9998000066665778
0.022000000000000006,0.021998225376279778,0.9997580097605092
0.024000000000000007,0.023997696066354296,0.9997120138237345
0.02600000000000001,0.02599707076567655,0.9996620190402377
0.02800000000000001,0.0279963414767504,0.9996080256099974
0.030000000000000013,0.029995500202495674,0.9995500337489875
0.032000000000000015,0.031994538946280134,0.9994880436891754
0.034000000000000016,0.033993449711951465,0.9994220556785212
0.03600000000000002,0.03599222450386927,0.9993520699809768
0.03800000000000002,0.03799085532693705,0.9992780868764849
0.04000000000000002,0.03998933418663418,0.9992001066609779
0.04200000000000002,0.04198765308904788,0.9991181296463766
0.044000000000000025,0.04398580404090521,0.9990321561605888
0.04600000000000003,0.045983779049605024,0.9989421865475084
0.04800000000000003,0.04798157012324995,0.9988482211670138
0.05000000000000003,0.04997916927067836,0.9987502603949663
0.05200000000000003,0.051976568501496324,0.9986483046232089
0.054000000000000034,0.05397375982610959,0.9985423542595644
0.056000000000000036,0.05597073525575551,0.9984324097278344
0.05800000000000004,0.05796748680253503,0.9983184714677966
0.06000000000000004,0.05996400647944464,0.9982005399352042
0.06200000000000004,0.06196028630040828,0.9980786156017829
0.06400000000000004,0.06395631828030933,0.99795269895523
0.06600000000000004,0.06595209443502253,0.9978227904992117
0.06800000000000005,0.06794760678144594,0.9976888907533621
0.07000000000000005,0.06994284733753281,0.9975510002532796
0.07200000000000005,0.07193780812232359,0.9974091195505261
0.07400000000000005,0.0739324811559778,0.9972632492126244
0.07600000000000005,0.07592685845980596,0.9971133898230555
0.07800000000000006,0.07792093205630152,0.9969595419812568
0.08000000000000006,0.07991469396917275,0.9968017063026193
0.08200000000000006,0.08190813622337464,0.9966398834184859
0.08400000000000006,0.08390125084514087,0.9964740739761475
0.08600000000000006,0.08589402986201558,0.996304278638842
0.08800000000000006,0.08788646530288537,0.9961304980857502
0.09000000000000007,0.08987854919801111,0.9959527330119943
0.09200000000000007,0.09187027357905991,0.9957709841286342
0.09400000000000007,0.0938616304791369,0.9955852521626654
0.09600000000000007,0.0958526119328171,0.9953955378570153
0.09800000000000007,0.09784320997617739,0.995201841970541
0.10000000000000007,0.09983341664682822,0.9950041652780257
0.10200000000000008,0.10182322398394558,0.994802508570176
0.10400000000000008,0.10381262402830278,0.9945968726536185
0.10600000000000008,0.10580160882230227,0.9943872583508965
0.10800000000000008,0.10779017041000755,0.9941736665004669
0.11000000000000008,0.1097783008371749,0.9939560979566968
0.11200000000000009,0.11176599215128527,0.9937345535898603
0.11400000000000009,0.11375323640157606,0.9935090342861342
0.11600000000000009,0.11574002563907292,0.9932795409475959
0.11800000000000009,0.11772635191662154,0.993046074492218
0.12000000000000009,0.11971220728891946,0.9928086358538663
0.1220000000000001,0.12169758381254783,0.9925672259822949
0.1240000000000001,0.12368247354600323,0.9923218458431429
0.12600000000000008,0.12566686854972933,0.9920724964179307
0.12800000000000009,0.12765076088614882,0.9918191787040556
0.1300000000000001,0.12963414261969494,0.991561893714788
0.1320000000000001,0.13161700581684344,0.9913006424792677
0.1340000000000001,0.13359934254614417,0.9910354260424993
0.1360000000000001,0.13558114487825285,0.990766245465348
0.1380000000000001,0.13756240488596277,0.9904931018245359
0.1400000000000001,0.13954311464423658,0.9902159962126371
0.1420000000000001,0.14152326623023787,0.9899349297380738
0.1440000000000001,0.1435028517233629,0.9896499035251115
0.1460000000000001,0.14548186320527243,0.9893609187138546
0.1480000000000001,0.1474602927599231,0.989067976460242
